Service ID,Service Name,Pricing Rule ID,Rule Name,Description,Pricing Type,Base Price,Billing Frequency,Active,Trigger Form Field,Required Form Field,Comparison Logic,Per-Unit Pricing,Unit Price,Unit Name,Quantity Source Field
individual-tax,2,individual-tax-base-single,Filing Status: Single,Individual tax return prep for Single ,Base Service,$275.00,One-Time Fee,checked,"individualTax.filingStatus
",Single,includes,,,,
individual-tax,2,individual-tax-base-hoh,Filing Status: Head of Household,Individual tax return prep for Head of Household,Base Service,$275.00,One-Time Fee,checked,"individualTax.filingStatus
",Head of Household,includes,,,,
individual-tax,2,individual-tax-base-married-filing-separately,Filing Status:  Married Filing Separately,Individual tax return prep for Married Filing Separately,Base Service,$275.00,One-Time Fee,checked,"individualTax.filingStatus
",Married Filing Separately,includes,,,,
individual-tax,2,individual-tax-base-mfj,Filing Status:  Married Filing Jointly,Individual tax return prep for Married Filing Jointly,Base Service,$350.00,One-Time Fee,checked,"individualTax.filingStatus
",Married Filing Jointly,includes,,,,
individual-tax,2,individual-tax-base-widow,Filing Status:  Qualified Widow(er),"Individual tax return prep for Qualified Widow(er)
",Base Service,$350.00,One-Time Fee,checked,"individualTax.filingStatus
",Qualifying Widow(er),includes,,,,
individual-tax,2,individual-tax-itemized,Itemized Deductions,Additional fee for itemized deductions (Schedule A),Add-on,$0.00,One-Time Fee,checked,"individualTax.deductionType
",Itemized deductions,equals,,,,
individual-tax,2,individual-tax-interest-dividend-basic,Interest/Dividend Income < $1500,Basic interest/dividend income under $1500,Add-on,$0.00,One-Time Fee,checked,individualTax.interestDividendAmount,"Less than $1,500
",includes,,,,
individual-tax,2,individual-tax-interest-dividend-complex,Interest/Dividend Income > $1500,Significant interest/dividend income over $1500,Add-on,$0.00,One-Time Fee,checked,individualTax.interestDividendAmount,"Greater than $1,500",includes,,,,
individual-tax,2,individual-tax-self-employment,Self-Employment Income,Schedule C self-employment income,Add-on,,One-Time Fee,checked,individualTax.incomeTypes,"Self-Employment Income (Do not include any income from Partnerships, S-Corps, or C-Corps)
",includes,checked,$50.00,business,individualTax.selfEmploymentBusinessCount
individual-tax,2,individual-tax-investment-income,Investment Income,Significant investment income and transactions,Add-on,$50.00,One-Time Fee,checked,individualTax.incomeTypes,"Investment Income (stocks, bonds)
",includes,,,,
individual-tax,2,individual-tax-k1-income,S-Corp/Partnership Income,K-1 income from partnerships or S-Corps,Add-on,,One-Time Fee,checked,individualTax.otherIncomeTypes,S-Corp/Partnership Income,includes,checked,$50.00,K-1,individualTax.k1Count
